q		ま
w		す
e		て
r		と
t		つ
y		さ
u		し
i		か
o		こ
p		き
a		も
s	ゃ
d	ゅ
f		う
g		ん
h		く
j		い
k	ょ
l	゛
;		お
z		を
x		っ
c		に
v		る
b		た
n		の
m		な
,		は
.		り
/		ー
まl	ぱ
まL	ぱ
すl	ず
すL	ず
てl	で
てL	で
とl	ど
とL	ど
つl	づ
つL	づ
さl	ざ
さL	ざ
しl	じ
しL	じ
かl	が
かL	が
こl	ご
こL	ご
きl	ぎ
きL	ぎ
もl	ぽ
もL	ぽ
うl	ゔ
うL	ゔ
んl	べ
んL	べ
くl	ぐ
くL	ぐ
いl	ぺ
いL	ぺ
おl	ぞ
おL	ぞ
をl	ぜ
をL	ぜ
っl	ぴ
っL	ぴ
にl	ぶ
にL	ぶ
るl	ぢ
るL	ぢ
たl	だ
たL	だ
のl	げ
のL	げ
なl	び
なL	び
はl	ば
はL	ば
りl	ぷ
りL	ぷ
ーl	ぼ
ーL	ぼ
まs	ぱ
まS	ぱ
すs	ず
すS	ず
てs	で
てS	で
とs	ど
とS	ど
つs	づ
つS	づ
さs	ざ
さS	ざ
しs	しゃ
しS	しゃ
かs	が
かS	が
こs	ご
こS	ご
きs	きゃ
きS	きゃ
もs	ぽ
もS	ぽ
うs	ゔ
うS	ゔ
んs	べ
んS	べ
くs	ぐ
くS	ぐ
いs	ぺ
いS	ぺ
おs	ぞ
おS	ぞ
をs	ぜ
をS	ぜ
っs	みゃ
っS	みゃ
にs	にゃ
にS	にゃ
るs	ちゃ
るS	ちゃ
たs	だ
たS	だ
のs	げ
のS	げ
なs	ひゃ
なS	ひゃ
はs	ば
はS	ば
りs	りゃ
りS	りゃ
ーs	ぼ
ーS	ぼ
かd	よ
もd	や
うd	ら
んd	へ
くd	れ
いd	め
おd	そ
をd	せ
っd	みゅ
るd	ちゅ
のd	け
なd	ひゅ
てk	ゆ
もk	あ
うk	ろ
んk	わ
くk	え
いk	ね
おk	ぬ
っk	みょ
るk	ちょ
なk	ひょ
ーk	ほ
Q		ま
W		す
E		て
R		と
T		つ
Y		さ
U		し
I		か
O		こ
P		き
A	ぁ
S	ゃ
D	、
F	ぅ
G		ん
H	ぇ
J	ぃ
K	。
L	゛
:	ぉ
Z		を
X		み
C		ふ
V		ち
B		た
N		の
M		ひ
<		は
>		む
?		ー
